,Order_Number,Order_Date,Customer_Names,Channel,Product_Name,Order_Quantity,Unit_Price,Line_Total,Total_Unit_Cost,State_Code,County,State,Region,Latitude,Longitude,2017_Budgets
3441,SO - 0004227,2014-03-23,Divanoodle Ltd,Wholesale,Product 5,11,3845.8,42303.8,1653.694,AR,Washington County/Benton County,Arkansas,South,36.19007,-94.15943,
3442,SO - 0005315,2014-03-23,Eire Corp,Distributor,Product 26,11,261.3,2874.3,222.105,PA,Allegheny County,Pennsylvania,Northeast,40.44062,-79.99589,
3443,SO - 0006474,2014-03-23,Devpoint Group,Distributor,Product 15,7,6217.6,43523.200000000004,4974.080000000001,ND,Cass County,North Dakota,Midwest,46.87719,-96.7898,
3444,SO - 0007854,2014-03-23,Amerisourc Corp,Distributor,Product 26,6,3115.5,18693.0,1900.455,WA,King County,Washington,West,47.48288,-122.21707,
3445,SO - 0008393,2014-03-23,Topco Company,Wholesale,Product 1,10,2438.8,24388.0,1999.816,MA,Norfolk County,Massachusetts,Northeast,42.33176,-71.12116,
3446,SO - 0009977,2014-03-23,Skiptube Ltd,Wholesale,Product 27,10,3932.9,39329.0,2084.4370000000004,MI,Macomb County,Michigan,Midwest,42.6731,-83.03656,
3447,SO - 000547,2014-03-23,Thoughtmix Ltd,Wholesale,Product 13,11,1051.9,11570.900000000001,736.33,MA,Suffolk County,Massachusetts,Northeast,42.40843,-71.01199,
3448,SO - 0001473,2014-03-23,Zoomzone Corp,Distributor,Product 13,7,2747.0,19229.0,1785.55,VA,Virginia Beach city,Virginia,South,36.85293,-75.97799,
3449,SO - 0003488,2014-03-23,Aimbo Corp,Export,Product 14,5,1125.6000000000001,5628.000000000001,585.3120000000001,TX,Bell County,Texas,South,31.11712,-97.7278,
3450,SO - 0004823,2014-03-23,Eire Corp,Distributor,Product 25,11,2291.4,25205.4,1810.2060000000001,TX,Cameron County,Texas,South,26.19063,-97.6961,
3451,SO - 0005308,2014-03-23,Liberty Group,Wholesale,Product 5,9,167.5,1507.5,130.65,UT,Salt Lake County,Utah,West,40.76078,-111.89105,
3452,SO - 0005572,2014-03-23,Accord Group,Wholesale,Product 18,5,3845.8,19229.0,1730.6100000000001,IA,Warren County/Polk County,Iowa,Midwest,41.57259,-93.61024,
3453,SO - 0006026,2014-03-23,Buzzbean Group,Distributor,Product 15,5,3973.1,19865.5,1907.088,CT,New Haven County,Connecticut,Northeast,41.310810000000004,-72.92495,
3454,SO - 0006534,2014-03-23,Snaptags Ltd,Distributor,Product 15,9,5152.3,46370.700000000004,3709.656,CA,Los Angeles County,California,West,33.84918,-118.38841,
3455,SO - 0007588,2014-03-23,Dazzlesphe Corp,Distributor,Product 13,6,991.6,5949.6,743.7,CA,Riverside County,California,West,33.49364,-117.14836,
3456,SO - 0009821,2014-03-23,Skajo Ltd,Wholesale,Product 1,9,1031.8,9286.199999999999,804.804,ME,Cumberland County,Maine,Northeast,43.66147,-70.25533,
3457,SO - 0009214,2014-03-23,Realbridge Corp,Distributor,Product 28,7,2391.9,16743.3,1865.6820000000002,TX,Dallas County,Texas,South,32.81402,-96.94889,
3458,SO - 0001586,2014-03-24,Lazzy Group,Distributor,Product 14,11,3912.8,43040.8,3091.112,OH,Montgomery County,Ohio,Midwest,39.75895,-84.19161,
3459,SO - 0001617,2014-03-24,Skyvu Group,Wholesale,Product 21,8,247.9,1983.2,99.16000000000001,CA,Sacramento County,California,West,38.4088,-121.37162,
3460,SO - 0001623,2014-03-24,Muxo Group,Export,Product 25,12,5239.400000000001,62872.8,2619.7000000000003,WA,King County,Washington,West,47.32232,-122.31262,
3461,SO - 0002188,2014-03-24,Twimbo Company,Wholesale,Product 28,11,194.3,2137.3,126.29500000000002,UT,Utah County,Utah,West,40.2969,-111.69465,
3462,SO - 0006610,2014-03-24,General Company,Wholesale,Product 15,10,1105.5,11055.0,795.9599999999999,FL,St. Lucie County,Florida,South,27.29393,-80.35033,
3463,SO - 0007723,2014-03-24,American Corp,Wholesale,Product 25,8,2854.2000000000003,22833.600000000002,1712.5200000000002,MO,Cass County/Jackson County,Missouri,Midwest,38.9216,-94.38476,
3464,SO - 0008256,2014-03-24,NARS Group,Wholesale,Product 30,8,2525.9,20207.2,1869.166,TX,Galveston County,Texas,South,29.30139,-94.79778,
3465,SO - 0001225,2014-03-24,Liberty Group,Wholesale,Product 14,12,3892.7000000000003,46712.4,1868.496,MN,Hennepin County,Minnesota,Midwest,45.09413,-93.35634,
3466,SO - 0002708,2014-03-24,Jayo Company,Export,Product 3,8,261.3,2090.4,143.71500000000003,CA,San Joaquin County,California,West,37.9577,-121.29078,
3467,SO - 0004894,2014-03-24,Brainspher Ltd,Wholesale,Product 1,9,5433.7,48903.299999999996,3803.5899999999997,MA,Middlesex County,Massachusetts,Northeast,42.33704,-71.20922,
3468,SO - 0005193,2014-03-24,Voolith Ltd,Distributor,Product 3,11,194.3,2137.3,108.80800000000002,TX,Galveston County,Texas,South,29.30139,-94.79778,
3469,SO - 0005801,2014-03-24,Gigabox Group,Wholesale,Product 15,12,3966.4,47596.8,2498.832,MN,Ramsey County,Minnesota,Midwest,44.94441,-93.09327,
3470,SO - 0006746,2014-03-24,Omba Group,Export,Product 16,6,6291.3,37747.8,3837.693,IA,Dubuque County,Iowa,Midwest,42.50056,-90.66457,
3471,SO - 0007542,2014-03-24,Walgreen Corp,Wholesale,Product 29,9,3899.4,35094.6,3275.496,MN,Dakota County,Minnesota,Midwest,44.80413,-93.16689,
3472,SO - 0007910,2014-03-24,Feednation Corp,Distributor,Product 16,12,676.7,8120.400000000001,541.36,CA,Marin County,California,West,38.10742,-122.5697,
3473,SO - 0009208,2014-03-24,Johnson Ltd,Wholesale,Product 6,5,2438.8,12194.0,1926.6520000000003,NY,Richmond County/Queens County/Kings County/New York County/Bronx County,New York,Northeast,40.66347,-73.9387,
3474,SO - 0009522,2014-03-24,Realpoint Corp,Distributor,Product 23,8,1051.9,8415.2,715.2920000000001,MD,Montgomery County,Maryland,South,38.99067,-77.02609,
3475,SO - 000761,2014-03-24,Dazzlesphe Corp,Wholesale,Product 26,10,234.5,2345.0,126.63000000000001,KS,Riley County/Pottawatomie County,Kansas,Midwest,39.18831,-96.60586,
3476,SO - 0001775,2014-03-24,Cogilith Group,Wholesale,Product 25,6,1159.1000000000001,6954.6,753.4150000000001,CA,San Bernardino County,California,West,34.05557,-117.18254,
3477,SO - 0003279,2014-03-24,Wordtune Company,Distributor,Product 6,11,5433.7,59770.7,3097.209,NY,Onondaga County,New York,Northeast,43.04812,-76.14742,
3478,SO - 0006940,2014-03-24,Bluezoom Group,Wholesale,Product 26,12,964.8000000000001,11577.6,549.936,MA,Essex County,Massachusetts,Northeast,42.7762,-71.07728,
3479,SO - 0001957,2014-03-24,SEINDNI Corp,Wholesale,Product 21,9,1031.8,9286.199999999999,835.758,SC,Lexington County/Richland County,South Carolina,South,34.0291,-80.89804,
3480,SO - 0003358,2014-03-24,Meejo Corp,Export,Product 1,8,1018.4,8147.2,539.7520000000001,NY,Westchester County,New York,Northeast,40.91149,-73.78235,
3481,SO - 0003846,2014-03-24,Linklinks Ltd,Distributor,Product 3,10,958.1,9581.0,488.63100000000003,MD,Howard County,Maryland,South,39.24038,-76.83942,
3482,SO - 0001153,2014-03-24,Rhynoodle Ltd,Wholesale,Product 6,6,5715.1,34290.600000000006,4343.476000000001,MO,Cass County/Platte County/Jackson County/Clay County,Missouri,Midwest,39.12513,-94.55103,
3483,SO - 0001361,2014-03-24,Zooveo Company,Wholesale,Product 14,8,3276.3,26210.4,1539.861,FL,Seminole County,Florida,South,28.80055,-81.27312,
3484,SO - 0001614,2014-03-24,Mita Corp,Distributor,Product 2,8,723.6,5788.8,376.27200000000005,CA,Los Angeles County,California,West,33.97918,-118.03284,
3485,SO - 0001864,2014-03-24,Blogspan Ltd,Distributor,Product 17,8,1855.9,14847.2,1132.099,MI,Wayne County,Michigan,Midwest,42.30754,-83.48577,
3486,SO - 0002134,2014-03-24,Skinder Group,Wholesale,Product 19,7,234.5,1641.5,93.80000000000001,MO,Cass County/Jackson County,Missouri,Midwest,38.9216,-94.38476,
3487,SO - 0002449,2014-03-24,Nlounge Ltd,Wholesale,Product 29,7,1145.7,8019.900000000001,641.5920000000001,IL,Peoria County,Illinois,Midwest,40.69365,-89.58899,
3488,SO - 0004609,2014-03-24,NARS Group,Distributor,Product 2,7,3095.4,21667.8,2104.8720000000003,OH,Montgomery County,Ohio,Midwest,39.62657,-84.26395,
3489,SO - 0005436,2014-03-24,Yombu Corp,Wholesale,Product 26,9,261.3,2351.7000000000003,169.84500000000003,IL,McLean County,Illinois,Midwest,40.47578,-88.96991,
3490,SO - 0006019,2014-03-24,Walgreen Corp,Wholesale,Product 3,6,3879.3,23275.800000000003,1823.271,TN,Davidson County,Tennessee,South,36.16913,-86.78479,
3491,SO - 0006574,2014-03-24,Ozu Ltd,Wholesale,Product 19,7,3477.3,24341.100000000002,1390.92,CA,Contra Costa County,California,West,37.97798,-122.03107,
3492,SO - 0007050,2014-03-24,Skiptube Ltd,Wholesale,Product 25,9,254.6,2291.4,152.76,GA,Cobb County,Georgia,South,33.88399,-84.51438,
3493,SO - 0007971,2014-03-24,Yombu Corp,Wholesale,Product 7,11,6472.2,71194.2,4012.7639999999997,MS,Harrison County,Mississippi,South,30.36742,-89.09282,
3494,SO - 0009810,2014-03-24,Neutrogena Ltd,Export,Product 15,12,1092.1000000000001,13105.2,655.2600000000001,IL,Peoria County,Illinois,Midwest,40.74495,-89.60964,
3495,SO - 0009936,2014-03-24,Nexus Group,Wholesale,Product 27,10,1226.1000000000001,12261.000000000002,895.0530000000001,MA,Hampden County,Massachusetts,Northeast,42.1487,-72.60787,
3496,SO - 0001946,2014-03-24,Voolith Ltd,Distributor,Product 13,7,797.3000000000001,5581.1,518.2450000000001,IL,McLean County,Illinois,Midwest,40.53839,-88.98528,
3497,SO - 0002023,2014-03-24,Safecor Corp,Distributor,Product 26,8,3832.4,30659.2,3180.892,CA,San Bernardino County,California,West,34.1064,-117.59311,
3498,SO - 0002440,2014-03-24,Twinte Group,Wholesale,Product 1,11,3859.2000000000003,42451.200000000004,3241.728,WA,Yakima County,Washington,West,46.60207,-120.5059,
3499,SO - 0002792,2014-03-24,CLINIQUE Ltd,Distributor,Product 16,8,1681.7,13453.6,992.203,WA,King County,Washington,West,47.67399,-122.12151,
3500,SO - 0003228,2014-03-24,Arbor Company,Export,Product 2,6,3959.7000000000003,23758.2,3365.7450000000003,FL,Palm Beach County,Florida,South,26.93422,-80.09421,
3501,SO - 0003285,2014-03-24,Kare Corp,Wholesale,Product 14,9,4006.6,36059.4,2444.026,FL,Hillsborough County,Florida,South,28.01057,-82.57732,
3502,SO - 0005670,2014-03-24,Aibox Company,Wholesale,Product 3,10,3892.7000000000003,38927.0,2335.62,FL,Broward County,Florida,South,26.27119,-80.2706,
3503,SO - 000664,2014-03-25,Organon Corp,Wholesale,Product 19,10,1118.9,11189.0,727.2850000000001,NJ,Essex County,New Jersey,Northeast,40.76732,-74.20487,
3504,SO - 000888,2014-03-25,Arbor Company,Wholesale,Product 2,11,174.20000000000002,1916.2000000000003,80.132,KY,Warren County,Kentucky,South,36.99032,-86.4436,
3505,SO - 0001376,2014-03-25,Twinte Group,Wholesale,Product 5,12,3939.6,47275.2,1575.8400000000001,TN,Montgomery County,Tennessee,South,36.52977,-87.35945,
3506,SO - 0002393,2014-03-25,Realbridge Corp,Distributor,Product 27,7,2331.6,16321.199999999999,1841.964,KS,Riley County/Pottawatomie County,Kansas,Midwest,39.18831,-96.60586,
3507,SO - 0002828,2014-03-25,BB17 Company,Wholesale,Product 16,9,1956.4,17607.600000000002,860.816,AZ,Maricopa County,Arizona,West,33.42227,-111.82264,
3508,SO - 0004011,2014-03-25,Quaxo Ltd,Wholesale,Product 13,6,884.4,5306.4,689.832,MN,Hennepin County,Minnesota,Midwest,44.97997,-93.26384,
3509,SO - 0004209,2014-03-25,Nexus Group,Wholesale,Product 15,10,3899.4,38994.0,2924.55,IL,Kane County,Illinois,Midwest,42.0261,-88.31822,
3510,SO - 0005900,2014-03-25,Sanum-Kehl Group,Distributor,Product 11,6,5936.2,35617.2,2849.3759999999997,IN,Clark County,Indiana,Midwest,38.31459,-85.73894,
3511,SO - 0006656,2014-03-25,Natures Group,Wholesale,Product 13,8,844.2,6753.6,641.5920000000001,IA,Plymouth County/Woodbury County,Iowa,Midwest,42.49567,-96.39053,
3512,SO - 0007202,2014-03-25,Lazzy Group,Wholesale,Product 15,9,911.2,8200.800000000001,583.168,CA,Orange County,California,West,33.56504,-117.72712,
3513,SO - 0007733,2014-03-25,State Ltd,Distributor,Product 16,10,3195.9,31959.0,1981.458,CA,Sacramento County,California,West,38.60336,-121.38005,
3514,SO - 0007878,2014-03-25,Bluezoom Group,Export,Product 13,12,5353.3,64239.600000000006,3211.98,CT,Hartford County,Connecticut,Northeast,41.78232,-72.61203,
3515,SO - 0001630,2014-03-25,Talane Group,Wholesale,Product 19,9,1025.1000000000001,9225.900000000001,563.8050000000002,IL,Cook County/DuPage County,Illinois,Midwest,41.83755,-87.68184,
3516,SO - 0002989,2014-03-25,Realbridge Corp,Wholesale,Product 3,6,951.4,5708.4,418.616,FL,Broward County,Florida,South,25.98731,-80.23227,
3517,SO - 0003698,2014-03-25,Wordware Company,Wholesale,Product 15,11,1011.7,11128.7,566.5520000000001,IL,Cook County,Illinois,Midwest,41.84333,-87.79093,
3518,SO - 0003941,2014-03-25,Neutrogena Ltd,Wholesale,Product 15,10,167.5,1675.0,110.55000000000001,TX,Comal County/Guadalupe County,Texas,South,29.69931,-98.11513,
3519,SO - 0005706,2014-03-25,Actavis Company,Distributor,Product 2,7,844.2,5909.400000000001,616.266,MI,Wayne County,Michigan,Midwest,42.30754,-83.48577,
3520,SO - 0006699,2014-03-25,Skiptube Ltd,Distributor,Product 1,8,1869.3,14954.4,1383.282,MI,Wayne County,Michigan,Midwest,42.32226,-83.17631,
3521,SO - 0007845,2014-03-25,Yodoo Ltd,Wholesale,Product 1,7,3283.0,22981.0,1936.9699999999998,IL,McLean County,Illinois,Midwest,40.4842,-88.99369,
3522,SO - 0007892,2014-03-25,Browsebug Company,Wholesale,Product 4,9,2740.3,24662.7,1671.583,NJ,Ocean County,New Jersey,Northeast,39.99426,-74.16615,
3523,SO - 0007929,2014-03-25,Buzzshare Company,Distributor,Product 2,11,3752.0,41272.0,2363.76,WA,King County,Washington,West,47.64177,-122.0804,
3524,SO - 0010734,2014-03-25,Natures Group,Distributor,Product 7,5,3651.5,18257.5,2409.9900000000002,CT,Fairfield County,Connecticut,Northeast,41.39482,-73.45401,
3525,SO - 0010363,2014-03-25,Mita Corp,Wholesale,Product 9,6,3879.3,23275.800000000003,2094.822,CA,Placer County,California,West,38.79073,-121.23578,
3526,SO - 000483,2014-03-25,Camido Company,Distributor,Product 1,12,864.3000000000001,10371.6,700.0830000000001,IL,McHenry County,Illinois,Midwest,42.19807,-88.27594,
3527,SO - 0001197,2014-03-25,Mita Corp,Export,Product 26,8,2324.9,18599.2,1952.916,CA,Orange County,California,West,33.88863,-117.81311,
3528,SO - 0005137,2014-03-25,Rochester Group,Wholesale,Product 14,5,1058.6000000000001,5293.000000000001,698.6760000000002,TX,McLennan County,Texas,South,31.54933,-97.14667,
3529,SO - 0006572,2014-03-25,Zoomzone Corp,Export,Product 26,8,971.5,7772.0,757.77,CA,Orange County,California,West,33.61891,-117.92895,
3530,SO - 0007591,2014-03-25,Mylan Corp,Wholesale,Product 25,5,5246.1,26230.5,3619.809,NJ,Ocean County,New Jersey,Northeast,39.95373,-74.19792,
3531,SO - 0010717,2014-03-25,Gabvine Ltd,Wholesale,Product 25,10,3698.4,36984.0,3106.656,PA,Lehigh County,Pennsylvania,Northeast,40.60843,-75.49018,
3532,SO - 0001422,2014-03-25,Skippad Ltd,Wholesale,Product 4,12,3604.6,43255.2,1838.346,NJ,Camden County,New Jersey,Northeast,39.92595,-75.11962,
3533,SO - 0001654,2014-03-25,Wordware Company,Wholesale,Product 14,11,3631.4,39945.4,2977.748,IL,Cook County/Will County,Illinois,Midwest,41.60815,-87.85929,
3534,SO - 0002252,2014-03-25,Viva Ltd,Wholesale,Product 2,8,3899.4,31195.2,2300.6459999999997,FL,Sarasota County,Florida,South,27.04422,-82.23593,
3535,SO - 0002832,2014-03-25,Zoonoodle Ltd,Distributor,Product 26,9,1762.1000000000001,15858.900000000001,1462.5430000000001,MT,Missoula County,Montana,West,46.87215,-113.994,
3536,SO - 0004597,2014-03-25,Brainspher Ltd,Wholesale,Product 21,9,3785.5,34069.5,1968.46,IL,Cook County,Illinois,Midwest,42.02911,-88.08951,
3537,SO - 0004805,2014-03-25,Dazzlesphe Corp,Distributor,Product 14,6,5393.5,32361.0,3937.255,MD,Frederick County,Maryland,South,39.41427,-77.41054,
3538,SO - 0006535,2014-03-25,WOCKHARDT Group,Wholesale,Product 6,10,1286.4,12864.0,514.5600000000001,OR,Lane County,Oregon,West,44.04624,-123.02203,
3539,SO - 0006846,2014-03-25,Chatterpoi Corp,Wholesale,Product 30,11,1085.4,11939.400000000001,770.634,NV,Clark County,Nevada,West,36.02525,-115.24194,
3540,SO - 0007596,2014-03-25,Unit Ltd,Wholesale,Product 25,10,2217.7000000000003,22177.000000000004,1153.2040000000002,OH,Summit County,Ohio,Midwest,41.08144,-81.51901,
3541,SO - 0002302,2014-03-25,GOOD Ltd,Export,Product 2,5,241.20000000000002,1206.0,110.95200000000001,CT,Hartford County,Connecticut,Northeast,41.77524,-72.52443,
3542,SO - 0003311,2014-03-25,Realbuzz Ltd,Export,Product 18,9,1976.5,17788.5,1264.96,CA,Orange County,California,West,33.87029,-117.92534,
3543,SO - 0004187,2014-03-25,Buzzbean Group,Distributor,Product 30,11,1078.7,11865.7,668.794,CA,Ventura County,California,West,34.17056,-118.8375,
3544,SO - 0004309,2014-03-25,NCS Group,Export,Product 5,11,1025.1000000000001,11276.100000000002,738.0720000000001,NJ,Union County,New Jersey,Northeast,40.69527,-74.26908,
3545,SO - 0006134,2014-03-25,Kare Corp,Distributor,Product 3,11,3557.7000000000003,39134.700000000004,1707.6960000000001,MI,Clinton County/Ingham County/Eaton County,Michigan,Midwest,42.71434,-84.55928,
3546,SO - 0006586,2014-03-25,Wordpedia Ltd,Distributor,Product 5,7,1025.1000000000001,7175.700000000001,420.29100000000005,TX,El Paso County,Texas,South,31.75872,-106.48693,
3547,SO - 0009612,2014-03-25,The Ltd,Wholesale,Product 27,5,1092.1000000000001,5460.500000000001,458.682,NC,Durham County/Wake County,North Carolina,South,35.8306,-78.64177,
3548,SO - 000857,2014-03-25,US Ltd,Wholesale,Product 15,8,3979.8,31838.4,3223.6380000000004,CA,Los Angeles County,California,West,34.0239,-118.17202,
3549,SO - 0001696,2014-03-25,Zooxo Ltd,Export,Product 25,10,3825.7000000000003,38257.0,2295.42,IL,Cook County,Illinois,Midwest,41.69043,-87.74383,
3550,SO - 0001697,2014-03-25,SAFEWAY Ltd,Export,Product 14,12,817.4,9808.8,653.9200000000001,MI,Washtenaw County,Michigan,Midwest,42.21368,-83.59918,
3551,SO - 0003402,2014-03-25,Yodoo Ltd,Wholesale,Product 1,6,737.0,4422.0,412.72,MO,St. Charles County,Missouri,Midwest,38.81061,-90.69985,
3552,SO - 0006401,2014-03-25,Aldi Ltd,Export,Product 27,12,1078.7,12944.400000000001,776.664,TX,Aransas County/Kleberg County/Nueces County/San Patricio County,Texas,South,27.75425,-97.17339,
3553,SO - 000196,2014-03-26,SEINDNI Corp,Export,Product 28,9,187.6,1688.3999999999999,144.452,CA,Placer County,California,West,38.79073,-121.23578,
3554,SO - 0002265,2014-03-26,State Ltd,Wholesale,Product 19,11,1078.7,11865.7,528.563,IN,Clark County,Indiana,Midwest,38.31459,-85.73894,
3555,SO - 0004220,2014-03-26,Blogspan Ltd,Export,Product 8,7,2673.3,18713.100000000002,1122.786,FL,Hernando County,Florida,South,28.47689,-82.52546,
3556,SO - 0004964,2014-03-26,Revitol Company,Export,Product 4,5,6164.0,30820.0,4129.88,AR,Washington County/Benton County,Arkansas,South,36.19007,-94.15943,
3557,SO - 0005255,2014-03-26,Chatterbri Ltd,Wholesale,Product 13,5,1929.6000000000001,9648.0,1485.7920000000001,DC,District of Columbia,District of Columbia,South,38.9041,-77.01723,
3558,SO - 0005579,2014-03-26,Natures Group,Distributor,Product 14,7,1058.6000000000001,7410.200000000001,899.8100000000001,OR,Washington County,Oregon,West,45.48706,-122.80371,
3559,SO - 0005994,2014-03-26,Muxo Group,Wholesale,Product 16,9,1862.6000000000001,16763.4,1564.584,NJ,Monmouth County,New Jersey,Northeast,40.40709,-74.06984,
3560,SO - 0006121,2014-03-26,EMD Group,Distributor,Product 25,10,1038.5,10385.0,571.1750000000001,CT,New Haven County,Connecticut,Northeast,41.22509,-73.06111,
3561,SO - 0006912,2014-03-26,Shuffledri Group,Distributor,Product 13,10,3999.9,39999.0,3359.916,PA,Allegheny County,Pennsylvania,Northeast,40.44062,-79.99589,
3562,SO - 0007854,2014-03-26,Amerisourc Corp,Distributor,Product 26,6,3115.5,18693.0,1900.455,KY,Daviess County,Kentucky,South,37.77422,-87.11333,
3563,SO - 0008070,2014-03-26,Snaptags Ltd,Distributor,Product 11,8,2298.1,18384.8,988.183,MN,Ramsey County,Minnesota,Midwest,44.94441,-93.09327,
3564,SO - 0008506,2014-03-26,Nexus Group,Distributor,Product 15,8,1882.7,15061.6,1355.5439999999999,IL,Cook County,Illinois,Midwest,41.93807,-87.8685,
3565,SO - 0001556,2014-03-26,Organon Corp,Distributor,Product 2,5,3919.5,19597.5,2038.14,NJ,Ocean County,New Jersey,Northeast,40.07706,-74.20037,
3566,SO - 0004535,2014-03-26,Podcat Corp,Wholesale,Product 6,12,2606.3,31275.600000000002,1798.347,CA,Los Angeles County,California,West,34.05223,-118.24368,
3567,SO - 0005282,2014-03-26,Wordware Company,Wholesale,Product 21,5,5272.900000000001,26364.500000000004,2267.347,MA,Bristol County,Massachusetts,Northeast,41.63622,-70.93421,
3568,SO - 0007455,2014-03-26,Centizu Company,Distributor,Product 20,6,1045.2,6271.200000000001,449.43600000000004,PA,Erie County,Pennsylvania,Northeast,42.08594,-80.1199,
3569,SO - 0010023,2014-03-26,Skidoo Company,Wholesale,Product 2,9,2505.8,22552.2,1077.4940000000001,CA,Tulare County,California,West,36.33023,-119.29206,
3570,SO - 0001497,2014-03-26,Accord Group,Wholesale,Product 4,6,1735.3,10411.8,780.885,MN,Hennepin County,Minnesota,Midwest,44.97997,-93.26384,
3571,SO - 0002060,2014-03-26,Gabvine Ltd,Wholesale,Product 26,11,1212.7,13339.7,715.4929999999999,CA,Alameda County,California,West,37.80437,-122.2708,
3572,SO - 0003004,2014-03-26,Actavis Company,Wholesale,Product 23,11,1742.0,19162.0,801.32,AR,Washington County/Benton County,Arkansas,South,36.19007,-94.15943,
3573,SO - 0003921,2014-03-26,True Ltd,Wholesale,Product 28,9,1118.9,10070.1,648.962,CA,San Diego County,California,West,32.79477,-116.96253,
3574,SO - 0005112,2014-03-26,Skidoo Company,Wholesale,Product 14,5,1681.7,8408.5,739.948,AL,Shelby County/Jefferson County,Alabama,South,33.52744,-86.79905,
3575,SO - 0005329,2014-03-26,Nexus Group,Wholesale,Product 26,8,1862.6000000000001,14900.800000000001,949.926,FL,Broward County,Florida,South,26.1716,-80.26163,
3576,SO - 0008280,2014-03-26,Skinder Group,Wholesale,Product 29,5,971.5,4857.5,806.3449999999999,NJ,Camden County,New Jersey,Northeast,39.90461,-74.997,
3577,SO - 0008723,2014-03-26,SAFEWAY Ltd,Wholesale,Product 17,9,234.5,2110.5,194.635,IN,Marion County,Indiana,Midwest,39.87571,-86.26625,
3578,SO - 0001874,2014-03-26,Oba Company,Distributor,Product 13,9,1092.1000000000001,9828.900000000001,884.6010000000001,NJ,Camden County,New Jersey,Northeast,39.92595,-75.11962,
3579,SO - 0003573,2014-03-26,Aveda Group,Wholesale,Product 4,9,857.6,7718.400000000001,428.8,NC,Cabarrus County,North Carolina,South,35.40875,-80.57951,
3580,SO - 0004752,2014-03-26,Accord Group,Wholesale,Product 2,6,1152.4,6914.400000000001,749.0600000000001,TX,Kaufman County/Dallas County,Texas,South,32.76288,-96.58877,
3581,SO - 0004852,2014-03-26,Eayo Company,Distributor,Product 1,10,1681.7,16817.0,1378.994,MI,Wayne County,Michigan,Midwest,42.36837,-83.35271,
3582,SO - 0005407,2014-03-26,Voolith Ltd,Wholesale,Product 13,6,3939.6,23637.6,2206.1760000000004,IL,Kendall County/Will County,Illinois,Midwest,41.5177,-88.14885,
3583,SO - 0005554,2014-03-26,Mita Corp,Export,Product 7,9,187.6,1688.3999999999999,95.676,MS,Harrison County,Mississippi,South,30.36742,-89.09282,
3584,SO - 0006818,2014-03-26,Skyvu Group,Distributor,Product 25,8,261.3,2090.4,154.167,MA,Hampden County,Massachusetts,Northeast,42.10148,-72.58981,
3585,SO - 0007037,2014-03-26,Voolia Ltd,Distributor,Product 26,5,2492.4,12462.0,1296.048,WI,Winnebago County,Wisconsin,Midwest,44.02471,-88.54261,
3586,SO - 0009088,2014-03-26,Talane Group,Wholesale,Product 29,6,1259.6000000000001,7557.6,831.3360000000001,GA,Chatham County,Georgia,South,32.08354,-81.09983,
3587,SO - 0010068,2014-03-26,Johnson Ltd,Distributor,Product 17,9,3839.1,34551.9,2418.633,NJ,Camden County,New Jersey,Northeast,39.79219,-75.03606,
3588,SO - 0002178,2014-03-26,Omba Group,Wholesale,Product 13,8,1112.2,8897.6,856.394,CA,San Diego County,California,West,32.79477,-116.96253,
3589,SO - 0005574,2014-03-26,Realcube Company,Distributor,Product 25,9,3289.7000000000003,29607.300000000003,1677.747,NY,Richmond County/Queens County/Kings County/New York County/Bronx County,New York,Northeast,40.66347,-73.9387,
3590,SO - 0006111,2014-03-26,Kazu Corp,Export,Product 14,11,2211.0,24321.0,1216.0500000000002,IA,Linn County,Iowa,Midwest,42.00833,-91.64407,
3591,SO - 0006486,2014-03-26,Camido Company,Wholesale,Product 6,7,6137.2,42960.4,4480.156,AR,Washington County,Arkansas,South,36.06258,-94.15743,
3592,SO - 0007985,2014-03-26,Cadila Ltd,Distributor,Product 5,8,884.4,7075.2,512.952,FL,Miami-Dade County,Florida,South,25.75871,-80.39839,
3593,SO - 0009940,2014-03-26,US Ltd,Wholesale,Product 18,12,6452.1,77425.20000000001,2903.445,KY,Warren County,Kentucky,South,36.99032,-86.4436,
3594,SO - 0001217,2014-03-26,Zooveo Company,Wholesale,Product 12,6,2010.0,12060.0,1185.8999999999999,MI,Macomb County,Michigan,Midwest,42.49698,-82.88881,
3595,SO - 0002523,2014-03-26,Centizu Company,Export,Product 1,5,3999.9,19999.5,1639.9589999999998,UT,Salt Lake County,Utah,West,40.59161,-111.8841,
3596,SO - 0004543,2014-03-26,Flipbug Ltd,Wholesale,Product 18,12,6184.1,74209.20000000001,3772.301,UT,Utah County,Utah,West,40.23384,-111.65853,
3597,SO - 0007524,2014-03-26,Zoonder Group,Export,Product 9,6,1172.5,7035.0,961.4499999999999,TX,Bell County,Texas,South,31.11712,-97.7278,
3598,SO - 0007592,2014-03-26,Skippad Ltd,Wholesale,Product 20,9,3973.1,35757.9,2185.205,FL,Broward County,Florida,South,26.10037,-80.39977,
3599,SO - 0008703,2014-03-26,Quimm Company,Wholesale,Product 7,12,2592.9,31114.800000000003,1166.805,IL,Kendall County/Will County,Illinois,Midwest,41.5177,-88.14885,
3600,SO - 0010533,2014-03-26,Topiczoom Corp,Wholesale,Product 9,8,2499.1,19992.8,1499.4599999999998,MA,Middlesex County,Massachusetts,Northeast,42.33704,-71.20922,
